dataset,freq,unit,hlth_pb,quant_inc,sex,age,geo,time,value,status
hlth_ehis_mh1i,A,PC,DPR,TOTAL,T,TOTAL,BE,2014,,
hlth_ehis_mh1i,A,PC,DPR,TOTAL,T,TOTAL,BE,2019,9,
hlth_ehis_mh1i,A,PC,DPR,TOTAL,T,TOTAL,BG,2014,7.9,
hlth_ehis_mh1i,A,PC,DPR,TOTAL,T,TOTAL,BG,2019,4.5,
hlth_ehis_mh1i,A,PC,DPR,TOTAL,T,TOTAL,CZ,2014,3.2,
hlth_ehis_mh1i,A,PC,DPR,TOTAL,T,TOTAL,CZ,2019,4.2,
hlth_ehis_mh1i,A,PC,DPR,TOTAL,T,TOTAL,DK,2014,6.3,
hlth_ehis_mh1i,A,PC,DPR,TOTAL,T,TOTAL,DK,2019,8.4,
hlth_ehis_mh1i,A,PC,DPR,TOTAL,T,TOTAL,DE,2014,8.5,
hlth_ehis_mh1i,A,PC,DPR,TOTAL,T,TOTAL,DE,2019,9.1,
hlth_ehis_mh1i,A,PC,DPR,TOTAL,T,TOTAL,EE,2014,6.9,
hlth_ehis_mh1i,A,PC,DPR,TOTAL,T,TOTAL,EE,2019,8.2,
hlth_ehis_mh1i,A,PC,DPR,TOTAL,T,TOTAL,IE,2014,5.8,
hlth_ehis_mh1i,A,PC,DPR,TOTAL,T,TOTAL,IE,2019,4.9,
hlth_ehis_mh1i,A,PC,DPR,TOTAL,T,TOTAL,EL,2014,4.4,
hlth_ehis_mh1i,A,PC,DPR,TOTAL,T,TOTAL,EL,2019,2.6,
hlth_ehis_mh1i,A,PC,DPR,TOTAL,T,TOTAL,ES,2014,6.7,
hlth_ehis_mh1i,A,PC,DPR,TOTAL,T,TOTAL,ES,2019,4.8,
hlth_ehis_mh1i,A,PC,DPR,TOTAL,T,TOTAL,FR,2014,7,
hlth_ehis_mh1i,A,PC,DPR,TOTAL,T,TOTAL,FR,2019,10.8,
hlth_ehis_mh1i,A,PC,DPR,TOTAL,T,TOTAL,HR,2014,3.8,
hlth_ehis_mh1i,A,PC,DPR,TOTAL,T,TOTAL,HR,2019,8.7,
hlth_ehis_mh1i,A,PC,DPR,TOTAL,T,TOTAL,IT,2014,4.3,
hlth_ehis_mh1i,A,PC,DPR,TOTAL,T,TOTAL,IT,2019,4.2,
hlth_ehis_mh1i,A,PC,DPR,TOTAL,T,TOTAL,CY,2014,4.6,
hlth_ehis_mh1i,A,PC,DPR,TOTAL,T,TOTAL,CY,2019,2.5,
hlth_ehis_mh1i,A,PC,DPR,TOTAL,T,TOTAL,LV,2014,4.7,
hlth_ehis_mh1i,A,PC,DPR,TOTAL,T,TOTAL,LV,2019,5.6,
hlth_ehis_mh1i,A,PC,DPR,TOTAL,T,TOTAL,LT,2014,3.9,
hlth_ehis_mh1i,A,PC,DPR,TOTAL,T,TOTAL,LT,2019,5.5,
hlth_ehis_mh1i,A,PC,DPR,TOTAL,T,TOTAL,LU,2014,8.3,
hlth_ehis_mh1i,A,PC,DPR,TOTAL,T,TOTAL,LU,2019,8.3,
hlth_ehis_mh1i,A,PC,DPR,TOTAL,T,TOTAL,HU,2014,10.3,
hlth_ehis_mh1i,A,PC,DPR,TOTAL,T,TOTAL,HU,2019,5.4,
hlth_ehis_mh1i,A,PC,DPR,TOTAL,T,TOTAL,MT,2014,5.7,
hlth_ehis_mh1i,A,PC,DPR,TOTAL,T,TOTAL,MT,2019,8.8,
hlth_ehis_mh1i,A,PC,DPR,TOTAL,T,TOTAL,NL,2014,,
hlth_ehis_mh1i,A,PC,DPR,TOTAL,T,TOTAL,NL,2019,8.2,
hlth_ehis_mh1i,A,PC,DPR,TOTAL,T,TOTAL,AT,2014,5,
hlth_ehis_mh1i,A,PC,DPR,TOTAL,T,TOTAL,AT,2019,5.6,
hlth_ehis_mh1i,A,PC,DPR,TOTAL,T,TOTAL,PL,2014,5.3,
hlth_ehis_mh1i,A,PC,DPR,TOTAL,T,TOTAL,PL,2019,5,
hlth_ehis_mh1i,A,PC,DPR,TOTAL,T,TOTAL,PT,2014,10.1,
hlth_ehis_mh1i,A,PC,DPR,TOTAL,T,TOTAL,PT,2019,8.4,
hlth_ehis_mh1i,A,PC,DPR,TOTAL,T,TOTAL,RO,2014,4.6,
hlth_ehis_mh1i,A,PC,DPR,TOTAL,T,TOTAL,RO,2019,4.1,
hlth_ehis_mh1i,A,PC,DPR,TOTAL,T,TOTAL,SI,2014,5.5,
hlth_ehis_mh1i,A,PC,DPR,TOTAL,T,TOTAL,SI,2019,7.5,
hlth_ehis_mh1i,A,PC,DPR,TOTAL,T,TOTAL,SK,2014,3.4,
hlth_ehis_mh1i,A,PC,DPR,TOTAL,T,TOTAL,SK,2019,3.1,
hlth_ehis_mh1i,A,PC,DPR,TOTAL,T,TOTAL,FI,2014,4.8,
hlth_ehis_mh1i,A,PC,DPR,TOTAL,T,TOTAL,FI,2019,6.5,
hlth_ehis_mh1i,A,PC,DPR,TOTAL,T,TOTAL,SE,2014,9.2,
hlth_ehis_mh1i,A,PC,DPR,TOTAL,T,TOTAL,SE,2019,10.5,
