dataset,freq,unit,smoking,quant_inc,sex,age,geo,time,value,status
hlth_ehis_sk3i,A,PC,SM_LT20D,TOTAL,T,TOTAL,BE,2014,10.6,u
hlth_ehis_sk3i,A,PC,SM_LT20D,TOTAL,T,TOTAL,BE,2019,9.7,u
hlth_ehis_sk3i,A,PC,SM_LT20D,TOTAL,T,TOTAL,BG,2014,14.6,
hlth_ehis_sk3i,A,PC,SM_LT20D,TOTAL,T,TOTAL,BG,2019,15.8,
hlth_ehis_sk3i,A,PC,SM_LT20D,TOTAL,T,TOTAL,CZ,2014,15.2,
hlth_ehis_sk3i,A,PC,SM_LT20D,TOTAL,T,TOTAL,CZ,2019,13.9,
hlth_ehis_sk3i,A,PC,SM_LT20D,TOTAL,T,TOTAL,DK,2014,8.3,
hlth_ehis_sk3i,A,PC,SM_LT20D,TOTAL,T,TOTAL,DK,2019,8.6,
hlth_ehis_sk3i,A,PC,SM_LT20D,TOTAL,T,TOTAL,DE,2014,10,
hlth_ehis_sk3i,A,PC,SM_LT20D,TOTAL,T,TOTAL,DE,2019,14.1,
hlth_ehis_sk3i,A,PC,SM_LT20D,TOTAL,T,TOTAL,EE,2014,15.2,
hlth_ehis_sk3i,A,PC,SM_LT20D,TOTAL,T,TOTAL,EE,2019,13.5,
hlth_ehis_sk3i,A,PC,SM_LT20D,TOTAL,T,TOTAL,IE,2014,8.7,
hlth_ehis_sk3i,A,PC,SM_LT20D,TOTAL,T,TOTAL,IE,2019,9.8,
hlth_ehis_sk3i,A,PC,SM_LT20D,TOTAL,T,TOTAL,EL,2014,11.9,
hlth_ehis_sk3i,A,PC,SM_LT20D,TOTAL,T,TOTAL,EL,2019,12.8,
hlth_ehis_sk3i,A,PC,SM_LT20D,TOTAL,T,TOTAL,ES,2014,15.4,
hlth_ehis_sk3i,A,PC,SM_LT20D,TOTAL,T,TOTAL,ES,2019,14.8,
hlth_ehis_sk3i,A,PC,SM_LT20D,TOTAL,T,TOTAL,FR,2014,16,
hlth_ehis_sk3i,A,PC,SM_LT20D,TOTAL,T,TOTAL,FR,2019,13.8,
